Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Reaction,Rate,Net.Reaction.Rate
CB05,288,2.44290503624567e-12,1348722.625,PANX = CXO3 + NO2,-714796.5,558070.3125
CB05,288,2.44290503624567e-12,1348722.625,PAN = C2O3 + NO2,-418698.28125,558070.3125
CB05,288,2.44290503624567e-12,1348722.625,HO2NO2 = HO2 + NO2,-357181.8125,558070.3125
CB05,288,2.44290503624567e-12,1348722.625,PANX = UNITY,-231722.1875,558070.3125
CB05,288,2.44290503624567e-12,1348722.625,PAN = UNITY,-121272.125,558070.3125
CB05,288,2.44290503624567e-12,1348722.625,Others,-202.610770225525,558070.3125
CB05,288,2.44290503624567e-12,1348722.625,CXO3 + NO2 = PANX,1289180,558070.3125
CB05,288,2.44290503624567e-12,1348722.625,C2O3 + NO2 = PAN,754817.125,558070.3125
CB05,288,2.44290503624567e-12,1348722.625,HO2 + NO2 = HO2NO2,357946.25,558070.3125
CB05,288,1.09795028971349e-11,4089251.75,HO2NO2 = HO2 + NO2,-1965244.375,1457359.875
CB05,288,1.09795028971349e-11,4089251.75,PANX = CXO3 + NO2,-1859697.875,1457359.875
CB05,288,1.09795028971349e-11,4089251.75,PAN = C2O3 + NO2,-1149316,1457359.875
CB05,288,1.09795028971349e-11,4089251.75,PANX = UNITY,-607455.5625,1457359.875
CB05,288,1.09795028971349e-11,4089251.75,PAN = UNITY,-348342.9375,1457359.875
CB05,288,1.09795028971349e-11,4089251.75,Others,-587.847579956055,1457359.875
CB05,288,1.09795028971349e-11,4089251.75,CXO3 + NO2 = PANX,3352779.5,1457359.875
CB05,288,1.09795028971349e-11,4089251.75,C2O3 + NO2 = PAN,2065843.875,1457359.875
CB05,288,1.09795028971349e-11,4089251.75,HO2 + NO2 = HO2NO2,1969380.75,1457359.875
CB05,288,2.41981851223372e-11,6903793.5,HO2NO2 = HO2 + NO2,-4973341.5,2128187
CB05,288,2.41981851223372e-11,6903793.5,PANX = CXO3 + NO2,-2687718.25,2128187
CB05,288,2.41981851223372e-11,6903793.5,PAN = C2O3 + NO2,-1761399.875,2128187
CB05,288,2.41981851223372e-11,6903793.5,PANX = UNITY,-885427.125,2128187
CB05,288,2.41981851223372e-11,6903793.5,PAN = UNITY,-549689.875,2128187
CB05,288,2.41981851223372e-11,6903793.5,Others,-987.839530944824,2128187
CB05,288,2.41981851223372e-11,6903793.5,HO2 + NO2 = HO2NO2,4983706,2128187
CB05,288,2.41981851223372e-11,6903793.5,CXO3 + NO2 = PANX,4843234,2128187
CB05,288,2.41981851223372e-11,6903793.5,C2O3 + NO2 = PAN,3159810.75,2128187
CB05,288,4.0888181729315e-11,9805887,HO2NO2 = HO2 + NO2,-9219161,2660568.25
CB05,288,4.0888181729315e-11,9805887,PANX = CXO3 + NO2,-3283985.75,2660568.25
CB05,288,4.0888181729315e-11,9805887,PAN = C2O3 + NO2,-2298891,2660568.25
CB05,288,4.0888181729315e-11,9805887,PANX = UNITY,-1083142,2660568.25
CB05,288,4.0888181729315e-11,9805887,PAN = UNITY,-728825.4375,2660568.25
CB05,288,4.0888181729315e-11,9805887,Others,-1441.2233581543,2660568.25
CB05,288,4.0888181729315e-11,9805887,HO2 + NO2 = HO2NO2,9238274,2660568.25
CB05,288,4.0888181729315e-11,9805887,CXO3 + NO2 = PANX,5918051,2660568.25
CB05,288,4.0888181729315e-11,9805887,C2O3 + NO2 = PAN,4119687.25,2660568.25
CB05,288,5.98947905161573e-11,12801769,HO2NO2 = HO2 + NO2,-14398904,3119457
CB05,288,5.98947905161573e-11,12801769,PANX = CXO3 + NO2,-3738092.25,3119457
CB05,288,5.98947905161573e-11,12801769,PAN = C2O3 + NO2,-2797587.5,3119457
CB05,288,5.98947905161573e-11,12801769,PANX = UNITY,-1227957,3119457
CB05,288,5.98947905161573e-11,12801769,PAN = UNITY,-893733.8125,3119457
CB05,288,5.98947905161573e-11,12801769,Others,-1972.55581665039,3119457
CB05,288,5.98947905161573e-11,12801769,HO2 + NO2 = HO2NO2,14428702,3119457
CB05,288,5.98947905161573e-11,12801769,CXO3 + NO2 = PANX,6738531.5,3119457
CB05,288,5.98947905161573e-11,12801769,C2O3 + NO2 = PAN,5010471.5,3119457
CB05,288,8.05192648667408e-11,15894183,HO2NO2 = HO2 + NO2,-20269020,3543521.25
CB05,288,8.05192648667408e-11,15894183,PANX = CXO3 + NO2,-4118951,3543521.25
CB05,288,8.05192648667408e-11,15894183,PAN = C2O3 + NO2,-3282660.5,3543521.25
CB05,288,8.05192648667408e-11,15894183,PANX = UNITY,-1345205.25,3543521.25
CB05,288,8.05192648667408e-11,15894183,PAN = UNITY,-1052794.375,3543521.25
CB05,288,8.05192648667408e-11,15894183,Others,-2599.09130859375,3543521.25
CB05,288,8.05192648667408e-11,15894183,HO2 + NO2 = HO2NO2,20310966,3543521.25
CB05,288,8.05192648667408e-11,15894183,CXO3 + NO2 = PANX,7427086,3543521.25
CB05,288,8.05192648667408e-11,15894183,C2O3 + NO2 = PAN,5876696.5,3543521.25
CB05,288,1.02384795086508e-10,19084550,HO2NO2 = HO2 + NO2,-26669186,3954719.5
CB05,288,1.02384795086508e-10,19084550,PANX = CXO3 + NO2,-4467241.5,3954719.5
CB05,288,1.02384795086508e-10,19084550,PAN = C2O3 + NO2,-3768575.5,3954719.5
CB05,288,1.02384795086508e-10,19084550,PANX = UNITY,-1450163.5,3954719.5
CB05,288,1.02384795086508e-10,19084550,PAN = UNITY,-1211291.375,3954719.5
CB05,288,1.02384795086508e-10,19084550,Others,-3334.45721435547,3954719.5
CB05,288,1.02384795086508e-10,19084550,HO2 + NO2 = HO2NO2,26724392,3954719.5
CB05,288,1.02384795086508e-10,19084550,CXO3 + NO2 = PANX,8056145,3954719.5
CB05,288,1.02384795086508e-10,19084550,C2O3 + NO2 = PAN,6743946,3954719.5
CB05,288,1.25354532309885e-10,22373582,HO2NO2 = HO2 + NO2,-33496210,4365603.5
CB05,288,1.25354532309885e-10,22373582,PANX = CXO3 + NO2,-4805829.5,4365603.5
CB05,288,1.25354532309885e-10,22373582,PAN = C2O3 + NO2,-4263227,4365603.5
CB05,288,1.25354532309885e-10,22373582,PANX = UNITY,-1551251.125,4365603.5
CB05,288,1.25354532309885e-10,22373582,PAN = UNITY,-1372117.5,4365603.5
CB05,288,1.25354532309885e-10,22373582,Others,-4190.48266601562,4365603.5
CB05,288,1.25354532309885e-10,22373582,HO2 + NO2 = HO2NO2,33565684,4365603.5
CB05,288,1.25354532309885e-10,22373582,CXO3 + NO2 = PANX,8666553,4365603.5
CB05,288,1.25354532309885e-10,22373582,C2O3 + NO2 = PAN,7626179.5,4365603.5
CB05,288,1.49229295587361e-10,25761522,HO2NO2 = HO2 + NO2,-40682600,4783586.5
CB05,288,1.49229295587361e-10,25761522,PANX = CXO3 + NO2,-5148145,4783586.5
CB05,288,1.49229295587361e-10,25761522,PAN = C2O3 + NO2,-4770961,4783586.5
CB05,288,1.49229295587361e-10,25761522,PANX = UNITY,-1653320.5,4783586.5
CB05,288,1.49229295587361e-10,25761522,PAN = UNITY,-1536865.125,4783586.5
CB05,288,1.49229295587361e-10,25761522,Others,-5178.0322265625,4783586.5
CB05,288,1.49229295587361e-10,25761522,HO2 + NO2 = HO2NO2,40767140,4783586.5
CB05,288,1.49229295587361e-10,25761522,CXO3 + NO2 = PANX,9282371,4783586.5
CB05,288,1.49229295587361e-10,25761522,C2O3 + NO2 = PAN,8531163,4783586.5
CB05,288,1.73934089353622e-10,29248352,HO2NO2 = HO2 + NO2,-48180504,5213530
CB05,288,1.73934089353622e-10,29248352,PANX = CXO3 + NO2,-5502469,5213530
