Reactants,Reaction.Rates,Mechanism,Times
HO2 + NO,792832896,MOZART-4,Day 1
HO2 + NO,296104416,MOZART-4,Day 2
ALKO2 + NO,263292697.286005,MOZART-4,Day 1
ALKO2 + NO,53487317.3752441,MOZART-4,Day 2
CH3O2 + NO,132705488,MOZART-4,Day 1
CH3O2 + NO,100178984,MOZART-4,Day 2
ISOPO2 + NO,162839055.984176,MOZART-4,Day 1
ISOPO2 + NO,67.9625093552295,MOZART-4,Day 2
CH3CO3 + NO,107147912,MOZART-4,Day 1
CH3CO3 + NO,35042328,MOZART-4,Day 2
XO2 + NO,50134724,MOZART-4,Day 1
XO2 + NO,1005165.1875,MOZART-4,Day 2
Others,125035110.96656,MOZART-4,Day 1
Others,21987002.276022,MOZART-4,Day 2
