Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
CB05,288,2.44290503624567e-12,1348722.625,558070.3125
CB05,288,1.09795028971349e-11,4089251.75,1457359.875
CB05,288,2.41981851223372e-11,6903793.5,2128187
CB05,288,4.0888181729315e-11,9805887,2660568.25
CB05,288,5.98947905161573e-11,12801769,3119457
CB05,288,8.05192648667408e-11,15894183,3543521.25
CB05,288,1.02384795086508e-10,19084550,3954719.5
CB05,288,1.25354532309885e-10,22373582,4365603.5
CB05,288,1.49229295587361e-10,25761522,4783586.5
CB05,288,1.73934089353622e-10,29248352,5213530
CB05,288,1.99422811597572e-10,32833664,5658209.5
CB05,288,2.25665680586573e-10,36516756,6119314
CB05,288,2.52643073128667e-10,40296492,6597995
CB05,288,2.80342110636767e-10,44171564,7094858.5
CB05,288,3.08754272149159e-10,48140300,7610237
CB05,288,3.37872202438305e-10,52200700,8144177
CB05,288,3.67696234571113e-10,56350692,8696463
CB05,288,3.98222260722392e-10,60587812,9267107
CB05,288,4.29448754335482e-10,64909344,9855248
CB05,288,4.61374882743115e-10,69312504,10460342
CB05,288,4.94058738365055e-10,73794288,11081846
CB05,288,5.2758231117167e-10,78351536,11718809
CB05,288,5.6182203334032e-10,82981184,12370073
CB05,288,5.96778515493668e-10,87679896,13034562
CB05,288,6.32452756832436e-10,92444464,13711357
CB05,288,6.68845978601951e-10,97271648,14399952
CB05,288,7.05960401248262e-10,102158216,15098755
CB05,288,7.43798522773176e-10,107101176,15806643
CB05,288,7.82363285267706e-10,112097248,16522594
CB05,288,8.21656909177904e-10,117143744,17245382
CB05,288,8.61681725972119e-10,122237624,17974744
CB05,288,9.02444341477349e-10,127376472,18709096
CB05,288,9.4394958516375e-10,132557568,19446890
CB05,288,9.86203008146447e-10,137778688,20186936
CB05,288,1.02921027256286e-09,143037456,20928224
CB05,288,1.07297815077345e-09,148331936,21669668
CB05,288,1.11751319309406e-09,153660064,22410128
CB05,288,1.16282516948729e-09,159020432,23148464
CB05,288,1.20891674448842e-09,164410688,23884070
