Reactants,Reaction.Rates,Mechanism,Times
HO2 + NO,891407872,CRIv2,Day 1
HO2 + NO,328751200,CRIv2,Day 2
CH3O2 + NO,170803856,CRIv2,Day 1
CH3O2 + NO,95965224,CRIv2,Day 2
CH3CO3 + NO,131200144,CRIv2,Day 1
CH3CO3 + NO,35787704,CRIv2,Day 2
RN13O2 + NO,99833888,CRIv2,Day 1
RN13O2 + NO,31505928,CRIv2,Day 2
C2H5O2 + NO,89057352,CRIv2,Day 1
C2H5O2 + NO,27783322,CRIv2,Day 2
RN16O2 + NO,83781144,CRIv2,Day 1
RN16O2 + NO,17509886,CRIv2,Day 2
RU11O2 + NO,98168616,CRIv2,Day 1
RU11O2 + NO,1800.16174316406,CRIv2,Day 2
RN15AO2 + NO,78902784,CRIv2,Day 1
RN15AO2 + NO,16446094,CRIv2,Day 2
RU14O2 + NO,82190744,CRIv2,Day 1
RU14O2 + NO,4.68854732815771e-09,CRIv2,Day 2
RI16O2 + NO,43755192,CRIv2,Day 1
RI16O2 + NO,8660603,CRIv2,Day 2
Others,290311744,CRIv2,Day 1
Others,59536764,CRIv2,Day 2
