Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
CRIv2,288,5.28124896245763e-12,1348722.625,207718.65625
CRIv2,288,1.93185172719934e-11,4089251.75,637946.375
CRIv2,288,3.71028034684695e-11,6903793.5,1019256.5625
CRIv2,288,5.76432096499602e-11,9805887,1358286.875
CRIv2,288,8.01917560133703e-11,12801769,1676097.125
CRIv2,288,1.04167098557983e-10,15894183,1987396.375
CRIv2,288,1.29411092952836e-10,19084550,2300869.5
CRIv2,288,1.55882945440666e-10,22373582,2621732
CRIv2,288,1.83386944518915e-10,25761522,2953222.75
CRIv2,288,2.1188917287418e-10,29248352,3297437
CRIv2,288,2.41598269168364e-10,32833664,3655809.25
CRIv2,288,2.72430661363288e-10,36516756,4029315
CRIv2,288,3.04288205743575e-10,40296492,4418527
CRIv2,288,3.37167821440332e-10,44171564,4823813
CRIv2,288,3.71067510052114e-10,48140300,5245447.5
CRIv2,288,4.05983774376395e-10,52200700,5683638.5
CRIv2,288,4.42098246900002e-10,56350692,6138225
CRIv2,288,4.79426554012008e-10,60587812,6608959
CRIv2,288,5.17796860943776e-10,64909344,7095469.5
CRIv2,288,5.57201895734494e-10,69312504,7597342
CRIv2,288,5.97633831311839e-10,73794288,8114454
CRIv2,288,6.39083841402766e-10,78351536,8645784
CRIv2,288,6.81542600133866e-10,82981184,9190548
CRIv2,288,7.2500011549792e-10,87679896,9747934
CRIv2,288,7.69446228954251e-10,92444464,10317153
CRIv2,288,8.1487055991758e-10,97271648,10897369
CRIv2,288,8.61262727802625e-10,102158216,11487567
CRIv2,288,9.08612296512956e-10,107101176,12086538
CRIv2,288,9.56908996485595e-10,112097248,12693393
CRIv2,288,1.00614128140109e-09,117143744,13306977
CRIv2,288,1.05629827107379e-09,122237624,13926077
CRIv2,288,1.10737286007634e-09,127376472,14549589
CRIv2,288,1.15935627764685e-09,132557568,15176392
CRIv2,288,1.21224041915724e-09,137778688,15805325
CRIv2,288,1.26601784611324e-09,143037456,16435310
CRIv2,288,1.3206815641098e-09,148331936,17065344
CRIv2,288,1.37622557794259e-09,153660064,17694282
CRIv2,288,1.43264689000944e-09,159020432,18321198
CRIv2,288,1.4899346201247e-09,164410688,18945138
CRIv2,288,1.54808699193154e-09,169829712,19565112
CRIv2,288,1.60710089680549e-09,175275728,20180178
CRIv2,288,1.66697267101057e-09,180747808,20789548
CRIv2,288,1.72769520911942e-09,186244112,21392400
CRIv2,288,1.78926895522125e-09,191763888,21988064
CRIv2,288,1.85169235500382e-09,197305952,22575870
CRIv2,288,1.91496285495418e-09,202869024,23155066
CRIv2,288,1.97907779053708e-09,208452224,23725134
CRIv2,288,2.04403516335105e-09,214054496,24285438
CRIv2,288,2.10983230886086e-09,219675040,24835520
CRIv2,288,2.17646656253123e-09,225313008,25374888
CRIv2,288,2.21009610612555e-09,228138096,25640458
CRIv2,288,2.92570234705636e-09,285353920,30316794
CRIv2,288,3.72187169972449e-09,343480096,33723176
CRIv2,288,4.58791138413517e-09,401982720,35950980
CRIv2,288,5.50789991393685e-09,460455712,37208996
CRIv2,288,6.46635411882812e-09,518584064,37719720
CRIv2,288,7.44971506705383e-09,576149376,37686916
CRIv2,288,8.44691694368294e-09,632998272,37276624
CRIv2,288,9.44936129343432e-09,689026560,36612128
CRIv2,288,1.04506394649206e-08,744175296,35780888
CRIv2,288,1.14462590516951e-08,798422080,34843872
CRIv2,288,1.24328227713022e-08,851756992,33853576
CRIv2,288,1.3408036458884e-08,904186176,32837396
CRIv2,288,1.43704301791558e-08,955728768,31816542
CRIv2,288,1.53186086038204e-08,1006393856,30815924
CRIv2,288,1.62519295798802e-08,1056205184,29842948
CRIv2,288,1.71699721107643e-08,1105186816,28897262
CRIv2,288,1.80725461262909e-08,1153361920,27982042
CRIv2,288,1.8959619652037e-08,1200755712,27100218
CRIv2,288,1.98312548604918e-08,1247392000,26253202
CRIv2,288,2.06876222819119e-08,1293295104,25441044
CRIv2,288,2.15289599481139e-08,1338487296,24663304
CRIv2,288,2.23555840506151e-08,1382989952,23919294
CRIv2,288,2.31678818352066e-08,1426830336,23207456
CRIv2,288,2.39660682410658e-08,1470024192,22526562
CRIv2,288,2.47505145267723e-08,1512588416,21873724
CRIv2,288,2.55215830691213e-08,1554544384,21253274
CRIv2,288,2.62796273631238e-08,1595908608,20659708
CRIv2,288,2.70250097855751e-08,1636698112,20092976
CRIv2,288,2.77582667962406e-08,1676937600,19551642
CRIv2,288,2.84796115579411e-08,1716632832,19032868
CRIv2,288,2.91893549331235e-08,1755799552,18535218
CRIv2,288,2.98878219950893e-08,1794450048,18059492
CRIv2,288,3.05753502516382e-08,1832595968,17605086
CRIv2,288,3.12522985268515e-08,1870256512,17168788
CRIv2,288,3.19190434083794e-08,1907443456,16751413
CRIv2,288,3.25757980590424e-08,1944163584,16353164
CRIv2,288,3.32228395905076e-08,1980430336,15969055
CRIv2,288,3.3860455772583e-08,2016249216,15599861
CRIv2,288,3.4488895295226e-08,2051636608,15244730
CRIv2,288,3.51084494809584e-08,2086596736,14903541
CRIv2,288.5,5.3794625004544e-12,1369522.625,206050.578125
CRIv2,288.5,1.96573365224273e-11,4152808.5,634585.625
CRIv2,288.5,3.77256420547312e-11,7011774.5,1016214.25
CRIv2,288.5,5.85679213460644e-11,9959972,1356719.25
CRIv2,288.5,8.14868311715955e-11,13003588,1676641.5
CRIv2,288.5,1.05827277496751e-10,16145316,1990475.5
CRIv2,288.5,1.31511593282063e-10,19386512,2306805.75
CRIv2,288.5,1.58401305960787e-10,22727806,2630796.75
CRIv2,288.5,1.86342399843831e-10,26169410,2965648.5
CRIv2,288.5,2.1530008331716e-10,29711222,3313426.75
CRIv2,288.5,2.45562736811422e-10,33352774,3675546
CRIv2,288.5,2.76896949813477e-10,37093216,4052972.75
CRIv2,288.5,3.09273079368566e-10,40931488,4446276
CRIv2,288.5,3.4268771154089e-10,44866088,4855817.5
CRIv2,288.5,3.77135545015506e-10,48895232,5281866.5
CRIv2,288.5,4.1261913330537e-10,53016992,5724669.5
CRIv2,288.5,4.49407733249529e-10,57228996,6183988.5
CRIv2,288.5,4.87336171417496e-10,61528840,6659599
CRIv2,288.5,5.26319154925403e-10,65913768,7151062
CRIv2,288.5,5.66348634656322e-10,70380824,7658099
CRIv2,288.5,6.07416061892962e-10,74926912,8180423
CRIv2,288.5,6.49511888717313e-10,79548968,8717017
CRIv2,288.5,6.92626012099851e-10,84243632,9267107
CRIv2,288.5,7.3674788492184e-10,89007640,9829874
CRIv2,288.5,7.81866738019943e-10,93837816,10404441
CRIv2,288.5,8.27971580186215e-10,98730664,10989959
CRIv2,288.5,8.75051586746167e-10,103683152,11585433
CRIv2,288.5,9.23095933025309e-10,108692032,12189742
CRIv2,288.5,9.720938498603e-10,113754152,12801871
CRIv2,288.5,1.02203467911011e-09,118866776,13420571
CRIv2,288.5,1.07290465400922e-09,124026936,14044702
CRIv2,288.5,1.12469822344252e-09,129231944,14673130
CRIv2,288.5,1.1774061725589e-09,134479312,15304685
CRIv2,288.5,1.23102039673029e-09,139766784,15938232
CRIv2,288.5,1.2855331243955e-09,145092112,16572716
CRIv2,288.5,1.34093769421639e-09,150453056,17207080
CRIv2,288.5,1.39722766689943e-09,155847840,17840206
CRIv2,288.5,1.45439993382013e-09,161274736,18471164
CRIv2,288.5,1.51244416990437e-09,166731808,19098856
CRIv2,288.5,1.57135859879531e-09,172217744,19722350
CRIv2,288.5,1.63114011186849e-09,177730752,20340730
CRIv2,288.5,1.69178504538792e-09,183269904,20953210
CRIv2,288.5,1.75328751517156e-09,188833696,21559110
CRIv2,288.5,1.8156458558849e-09,194420912,22157608
CRIv2,288.5,1.878859734461e-09,200030336,22747896
CRIv2,288.5,1.94292648636463e-09,205661104,23329414
CRIv2,288.5,2.00784389114972e-09,211312176,23901636
CRIv2,288.5,2.07360972837023e-09,216982576,24463958
CRIv2,288.5,2.1402213334909e-09,222671136,25015860
CRIv2,288.5,2.20767626402107e-09,228377056,25556898
CRIv2,288.5,2.24171836649134e-09,231236416,25823202
CRIv2,288.5,2.96591640136512e-09,289139136,30505436
CRIv2,288.5,3.77082010061258e-09,347954016,33905068
CRIv2,288.5,4.64667904154226e-09,407140192,36113668
CRIv2,288.5,5.576994865919e-09,466284736,37345204
CRIv2,288.5,6.54612675177191e-09,525068832,37825620
CRIv2,288.5,7.54034701344608e-09,583271360,37761680
CRIv2,288.5,8.54844905973096e-09,640735552,37321592
CRIv2,288.5,9.56170076449325e-09,697357696,36630740
CRIv2,288.5,1.05736743805096e-08,753079872,35772648
CRIv2,288.5,1.15797842425991e-08,807879296,34812188
CRIv2,288.5,1.25765895475638e-08,861745280,33800308
CRIv2,288.5,1.35617774787988e-08,914687232,32765148
CRIv2,288.5,1.45337590851113e-08,966721344,31728520
CRIv2,288.5,1.54913166738879e-08,1017862528,30713842
CRIv2,288.5,1.64337166097539e-08,1068134464,29729290
CRIv2,288.5,1.73605378961383e-08,1117560192,28771854
CRIv2,288.5,1.82716028973573e-08,1166164864,27846302
CRIv2,288.5,1.91668743099171e-08,1213975936,26955480
CRIv2,288.5,2.00464320698757e-08,1261015296,26100276
CRIv2,288.5,2.09104555892736e-08,1307309568,25280840
CRIv2,288.5,2.1759188228998e-08,1352882304,24496736
CRIv2,288.5,2.25930243402672e-08,1397756672,23746946
CRIv2,288.5,2.34122126130387e-08,1441953920,23030232
CRIv2,288.5,2.42170763442573e-08,1485495808,22347060
CRIv2,288.5,2.50079867925024e-08,1528399616,21693564
CRIv2,288.5,2.57853010054987e-08,1570685184,21069264
CRIv2,288.5,2.65493937945394e-08,1612370944,20472414
CRIv2,288.5,2.73008833318045e-08,1653484288,19902278
CRIv2,288.5,2.80397465246551e-08,1694026112,19358940
CRIv2,288.5,2.87665891107736e-08,1734019328,18838258
CRIv2,288.5,2.94816580037605e-08,1773476992,18339826
CRIv2,288.5,3.01852907114153e-08,1812411008,17865400
CRIv2,288.5,3.08777998725418e-08,1850835840,17409126
CRIv2,288.5,3.15596686562003e-08,1888769280,16973364
CRIv2,288.5,3.22311350942073e-08,1926220800,16555947
CRIv2,288.5,3.28924691928023e-08,1963198592,16157441
CRIv2,288.5,3.35439693799344e-08,1999719168,15773312
CRIv2,288.5,3.41858950037022e-08,2035787648,15404291
CRIv2,288.5,3.48185409393409e-08,2071413248,15049387
CRIv2,288.5,3.54422198256543e-08,2106610944,14709457
CRIv2,289,5.48085448554003e-12,1390652.25,204164.140625
CRIv2,289,2.00074644352011e-11,4217411,630589.6875
CRIv2,289,3.83690648697588e-11,7121589.5,1012187.0625
CRIv2,289,5.95503368838735e-11,10116725,1353875
CRIv2,289,8.28214025139218e-11,13208963,1675655
CRIv2,289,1.07535813587134e-10,16400931,1991794.375
CRIv2,289,1.33674016300489e-10,19693894,2310763
CRIv2,289,1.60992053022113e-10,23088474,2637670.5
CRIv2,289,1.89381108017805e-10,26584782,2975672.75
CRIv2,289,2.18858389744447e-10,30182656,3326801.25
CRIv2,289,2.49640613736446e-10,33881536,3692454.25
CRIv2,289,2.81489581643868e-10,37680520,4073589.75
CRIv2,289,3.14397785583509e-10,41578444,4470774
CRIv2,289,3.48360645885393e-10,45573752,4884367.5
CRIv2,289,3.83373249812635e-10,49664560,5314651.5
CRIv2,289,4.19457107936339e-10,53848860,5761837.5
CRIv2,289,4.56926496639198e-10,58124224,6225685.5
CRIv2,289,4.9547099756353e-10,62488116,6705969.5
CRIv2,289,5.35082922414887e-10,66937700,7202186.5
CRIv2,289,5.75753333897921e-10,71469960,7714182.5
CRIv2,289,6.17472906139227e-10,76081792,8241510.5
CRIv2,289,6.60231425086977e-10,80769888,8783185
CRIv2,289,7.04017955044378e-10,85530976,9338393
CRIv2,289,7.48821338270034e-10,90361672,9906331
CRIv2,289,7.94630194977941e-10,95258752,10486031
CRIv2,289,8.41433034359795e-10,100218736,11076651
CRIv2,289,8.89218476629594e-10,105238432,11677181
CRIv2,289,9.37975253023637e-10,110314640,12286679
CRIv2,289,9.87692261311679e-10,115444304,12903804
CRIv2,289,1.03835895437498e-09,120624552,13527415
CRIv2,289,1.08996112135884e-09,125852328,14156348
CRIv2,289,1.14249176785819e-09,131125000,14789451
CRIv2,289,1.19594256720035e-09,136440128,15425546
CRIv2,289,1.25030508169033e-09,141795520,16063488
CRIv2,289,1.30557165078926e-09,147188656,16702302
CRIv2,289,1.3617355021367e-09,152617664,17340780
CRIv2,289,1.41879208381823e-09,158080736,17977892
CRIv2,289,1.47673173689356e-09,163575760,18612514
CRIv2,289,1.53555124171589e-09,169101264,19243662
CRIv2,289,1.59524671250466e-09,174655632,19870440
CRIv2,289,1.65581470756848e-09,180237392,20492016
CRIv2,289,1.71725167419368e-09,185845408,21107478
CRIv2,289,1.77955394864426e-09,191478160,21716114
CRIv2,289,1.84271597980512e-09,197134320,22317106
CRIv2,289,1.90673921096618e-09,202813248,22909752
CRIv2,289,1.97162153270369e-09,208513584,23493476
CRIv2,289,2.03736050252701e-09,214234240,24067638
CRIv2,289,2.10395389999007e-09,219974320,24631674
CRIv2,289,2.17139950464684e-09,225732816,25185206
CRIv2,289,2.23969376378363e-09,231508832,25727666
CRIv2,289,2.27415841713707e-09,234403280,25994620
CRIv2,289,3.00714297907234e-09,293011968,30682306
CRIv2,289,3.82101905671561e-09,352535232,34072268
CRIv2,289,4.70691263743106e-09,412424928,36260236
CRIv2,289,5.64779201184251e-09,472260576,37463848
CRIv2,289,6.62785382132824e-09,531719648,37912800
CRIv2,289,7.63320162633363e-09,590576512,37816724
CRIv2,289,8.65248228620885e-09,648674304,37347260
CRIv2,289,9.67683000396846e-09,705905856,36629076
CRIv2,289,1.06997806170739e-08,762216640,35743184
CRIv2,289,1.17166587543238e-08,817582336,34759172
CRIv2,289,1.27239800917778e-08,871994048,33725828
CRIv2,289,1.37194069438351e-08,925460352,32671586
CRIv2,289,1.47012606532826e-08,977997632,31619586
CRIv2,289,1.56683910290667e-08,1029624448,30591982
CRIv2,289,1.66200990747711e-08,1080366464,29593790
CRIv2,289,1.7555919384904e-08,1130245504,28624806
CRIv2,289,1.84756849819223e-08,1179288960,27689196
CRIv2,289,1.93793567859757e-08,1227523456,26789600
CRIv2,289,2.02670271676197e-08,1274974208,25926638
CRIv2,289,2.11388879733931e-08,1321665920,25100216
CRIv2,289,2.19951896696102e-08,1367624064,24309972
CRIv2,289,2.28363852272651e-08,1412874880,23556580
CRIv2,289,2.366263629483e-08,1457436416,22836200
CRIv2,289,2.44743336708098e-08,1501331072,22148686
CRIv2,289,2.52718450610701e-08,1544579200,21491920
CRIv2,289,2.60556376474597e-08,1587203072,20865112
CRIv2,289,2.68260897939854e-08,1629222144,20266838
CRIv2,289,2.7583446637891e-08,1670647424,19694258
CRIv2,289,2.83280989776813e-08,1711498112,19149080
CRIv2,289,2.90605477459849e-08,1751792256,18629202
CRIv2,289,2.97810398564025e-08,1791543040,18130730
CRIv2,289,3.04899288039451e-08,1830765184,17653912
CRIv2,289,3.1187543214628e-08,1869470464,17197936
CRIv2,289,3.18743857974368e-08,1907678336,16762486
CRIv2,289,3.25506519516239e-08,1945396480,16345396
CRIv2,289,3.32166401051381e-08,1982636928,15947878
CRIv2,289,3.38726628967834e-08,2019411456,15564321
CRIv2,289,3.45189796746581e-08,2055728640,15195878
CRIv2,289,3.51558995248524e-08,2091597184,14842416
CRIv2,289,3.57837564024521e-08,2127036032,14503010
CRIv2,289.5,5.58547782678054e-12,1412116,202058.546875
CRIv2,289.5,2.03691629535596e-11,4283070.5,625949.875
CRIv2,289.5,3.9033675597322e-11,7233239.5,1007151.375
CRIv2,289.5,6.05676064857619e-11,10276169,1349715.75
CRIv2,289.5,8.41968716969177e-11,13417930,1673083.375
CRIv2,289.5,1.0930364946482e-10,16661075,1991274.625
CRIv2,289.5,1.3590059633195e-10,20006808,2312643.5
CRIv2,289.5,1.63657920548843e-10,23455684,2642230.25
CRIv2,289.5,1.92506371954337e-10,27007760,2983141.25
CRIv2,289.5,2.22544899175503e-10,30662792,3337390.25
CRIv2,289.5,2.53836729413592e-10,34420104,3706342.25
CRIv2,289.5,2.86214052458433e-10,38278812,4090950.25
CRIv2,289.5,3.19668236326009e-10,42237616,4491775
CRIv2,289.5,3.54194368279437e-10,46294844,4909201
CRIv2,289.5,3.89786536381109e-10,50448576,5343487
CRIv2,289.5,4.26575968992537e-10,54696660,5794836.5
CRIv2,289.5,4.64664362542777e-10,59036708,6262983.5
CRIv2,289.5,5.03841801613447e-10,63465992,6747715
CRIv2,289.5,5.44099765242834e-10,67981560,7248453.5
CRIv2,289.5,5.8542848346832e-10,72580392,7765200.5
CRIv2,289.5,6.27817853260382e-10,77259256,8297306
CRIv2,289.5,6.71256716877622e-10,82014784,8843829
CRIv2,289.5,7.15733639022886e-10,86843688,9403941
CRIv2,289.5,7.61236684798661e-10,91742528,9976784
CRIv2,289.5,8.07753863796279e-10,96707904,10561425
CRIv2,289.5,8.55273185607075e-10,101736360,11156920
CRIv2,289.5,9.03782604311232e-10,106824768,11762376
CRIv2,289.5,9.53270573589293e-10,111969728,12376703
CRIv2,289.5,1.0037255471218e-09,117168352,12998601
CRIv2,289.5,1.05513664472312e-09,122417616,13626857
CRIv2,289.5,1.10749132087307e-09,127714536,14260348
CRIv2,289.5,1.16077814027449e-09,133056464,14897868
CRIv2,289.5,1.21499099670075e-09,138440912,15538265
CRIv2,289.5,1.27012134143456e-09,143865648,16180456
CRIv2,289.5,1.32616118087014e-09,149328320,16823306
CRIv2,289.5,1.38310385366935e-09,154826896,17465606
CRIv2,289.5,1.44094436382858e-09,160359728,18106334
CRIv2,289.5,1.49967360751901e-09,165924688,18744414
CRIv2,289.5,1.55928825407159e-09,171520192,19378844
CRIv2,289.5,1.61978441770572e-09,177144896,20008672
CRIv2,289.5,1.68115876775232e-09,182797024,20633094
CRIv2,289.5,1.74340786252003e-09,188475520,21251270
CRIv2,289.5,1.80652892645128e-09,194179088,21862420
CRIv2,289.5,1.87051618638634e-09,199906576,22465710
CRIv2,289.5,1.935369198236e-09,205656416,23060468
CRIv2,289.5,2.00108707382185e-09,211428112,23646162
CRIv2,289.5,2.06766759269783e-09,217220304,24222104
CRIv2,289.5,2.13510897850711e-09,223032080,24787752
CRIv2,289.5,2.20340812262521e-09,228862448,25342610
CRIv2,289.5,2.27256258256148e-09,234710352,25886246
CRIv2,289.5,2.3074595567607e-09,237640736,26153666
CRIv2,289.5,3.04943359452636e-09,296975584,30844878
CRIv2,289.5,3.87252940825533e-09,357227904,34223476
CRIv2,289.5,4.76868233789673e-09,417841120,36389344
CRIv2,289.5,5.72036817914068e-09,478388512,37563572
CRIv2,289.5,6.71162503351752e-09,538541888,37979820
CRIv2,289.5,7.72837971396712e-09,598072448,37850776
CRIv2,289.5,8.75912764541908e-09,656821312,37353260
CRIv2,289.5,9.79487069230345e-09,714679488,36605440
CRIv2,289.5,1.08290922895549e-08,771593344,35693316
CRIv2,289.5,1.1857023807238e-08,827540672,34683292
CRIv2,289.5,1.28751533878813e-08,882510784,33628436
CRIv2,289.5,1.38810918315357e-08,936515584,32556746
CRIv2,289.5,1.4873140941063e-08,989569792,31488412
CRIv2,289.5,1.58500768066006e-08,1041691584,30447100
CRIv2,289.5,1.68112777032547e-08,1092910208,29435514
CRIv2,289.5,1.77563244108114e-08,1143251712,28455166
CRIv2,289.5,1.86850073191636e-08,1192742144,27509774
CRIv2,289.5,1.95972873484607e-08,1241408640,26601730
CRIv2,289.5,2.04932693037563e-08,1289276928,25731100
CRIv2,289.5,2.13731503606596e-08,1336373760,24898202
CRIv2,289.5,2.223726802697e-08,1382727040,24104444
CRIv2,289.5,2.30859242833503e-08,1428358528,23345504
CRIv2,289.5,2.39194033468948e-08,1473288960,22621442
CRIv2,289.5,2.47380800288965e-08,1517542784,21930508
CRIv2,289.5,2.55424481565569e-08,1561142656,21270928
CRIv2,289.5,2.63328452376754e-08,1604108800,20641948
CRIv2,289.5,2.71095643711305e-08,1646455168,20042126
CRIv2,289.5,2.78730141189953e-08,1688200192,19469864
CRIv2,289.5,2.86235692925629e-08,1729362688,18923578
CRIv2,289.5,2.93617272717484e-08,1769962624,18401730
CRIv2,289.5,3.00877474046501e-08,1810011136,17902852
CRIv2,289.5,3.08019849626362e-08,1849521280,17425812
CRIv2,289.5,3.15047898880039e-08,1888509440,16970516
CRIv2,289.5,3.21966808769503e-08,1926993408,16537898
CRIv2,289.5,3.2877828459732e-08,1964981504,16122165
CRIv2,289.5,3.35485452751527e-08,2002484352,15723475
CRIv2,289.5,3.4209158172871e-08,2039514240,15340662
