Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
MCMv3.2,288,4.55258096845879e-12,1348722.625,355055.3125
MCMv3.2,288,1.62275644310927e-11,4089251.75,1009030.125
MCMv3.2,288,3.16603653016667e-11,6903793.5,1572028.75
MCMv3.2,288,5.02829826387607e-11,9805888,2061266
MCMv3.2,288,7.1294734005356e-11,12801769,2503594
MCMv3.2,288,9.41851180380482e-11,15894183,2919492.25
MCMv3.2,288,1.18570472884549e-10,19084550,3322443.25
MCMv3.2,288,1.44263420653878e-10,22373582,3721344.25
MCMv3.2,288,1.71157046868764e-10,25761522,4122195
MCMv3.2,288,1.99182864646374e-10,29248352,4529183
MCMv3.2,288,2.28366714427608e-10,32833664,4945331
MCMv3.2,288,2.58721877255397e-10,36516756,5372834
MCMv3.2,288,2.90140911296533e-10,40296492,5813226
MCMv3.2,288,3.22605608893411e-10,44171564,6267666
MCMv3.2,288,3.56101065301928e-10,48140300,6736997.5
MCMv3.2,288,3.90611931688767e-10,52200700,7221555.5
MCMv3.2,288,4.26129742603365e-10,56350692,7721909
MCMv3.2,288,4.62640925569247e-10,60587808,8238011.5
MCMv3.2,288,5.00133934266955e-10,64909348,8769813
MCMv3.2,288,5.38596944821279e-10,69312504,9317031
MCMv3.2,288,5.78017966823552e-10,73794288,9879160
MCMv3.2,288,6.18385065376259e-10,78351536,10455746
MCMv3.2,288,6.5968602802613e-10,82981192,11046078
MCMv3.2,288,7.01908586808742e-10,87679896,11649300
MCMv3.2,288,7.45040307226219e-10,92444464,12264618
MCMv3.2,288,7.89069254381047e-10,97271648,12891033
MCMv3.2,288,8.33983770931468e-10,102158216,13527582
MCMv3.2,288,8.79773254247596e-10,107101176,14173213
MCMv3.2,288,9.26428156411419e-10,112097256,14826745
MCMv3.2,288,9.73937486214993e-10,117143744,15486920
MCMv3.2,288,1.02229202880721e-09,122237624,16152616
MCMv3.2,288,1.07149034089815e-09,127376472,16822664
MCMv3.2,288,1.12152753750649e-09,132557568,17495928
MCMv3.2,288,1.17240017694087e-09,137778688,18171286
MCMv3.2,288,1.22410581671062e-09,143037456,18847582
MCMv3.2,288,1.2766425694366e-09,148331936,19523608
