Reactants,Reaction.Rates,Mechanism,Times
HO2 + NO,950379584,MOZART-4,Day 1
HO2 + NO,113629208,MOZART-4,Day 2
ALKO2 + NO,248341769.122412,MOZART-4,Day 1
ALKO2 + NO,26696995.6173706,MOZART-4,Day 2
ISOPO2 + NO,218213382.726187,MOZART-4,Day 1
ISOPO2 + NO,6.57508299336172,MOZART-4,Day 2
CH3O2 + NO,129110000,MOZART-4,Day 1
CH3O2 + NO,30474364,MOZART-4,Day 2
CH3CO3 + NO,107960696,MOZART-4,Day 1
CH3CO3 + NO,11566325,MOZART-4,Day 2
XO2 + NO,53381484,MOZART-4,Day 1
XO2 + NO,2297889,MOZART-4,Day 2
Others,131277857.056881,MOZART-4,Day 1
Others,10404503.7579113,MOZART-4,Day 2
