Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
MOZART-4,288,4.47416409476986e-12,1348722.625,356650.75
MOZART-4,288,1.42947979842045e-11,4089251.75,1100068.75
MOZART-4,288,2.66078097055367e-11,6903793.5,1806079.25
MOZART-4,288,4.20031509573704e-11,9805887,2439902
MOZART-4,288,6.0501596788054e-11,12801769,2997309
MOZART-4,288,5.05462893762854e-11,11244357,2644685.75
MOZART-4,288,1.05128183935932e-10,19084550,3938236
MOZART-4,288,1.30358543404263e-10,22373582,4353261
MOZART-4,288,1.57303642334128e-10,25761522,4748360.5
MOZART-4,288,1.85703882826793e-10,29248352,5132935.5
MOZART-4,288,2.1540264016906e-10,32833664,5514095.5
MOZART-4,288,2.46314857399454e-10,36516756,5897137
MOZART-4,288,2.78379097551351e-10,40296492,6285999.5
MOZART-4,288,3.11549674947287e-10,44171564,6683616.5
MOZART-4,288,3.45791117961625e-10,48140300,7092131.5
MOZART-4,288,3.81072950972339e-10,52200700,7513059.5
MOZART-4,288,4.17375189964986e-10,56350692,7947446
MOZART-4,288,4.54674908834107e-10,60587812,8395921
MOZART-4,288,4.93056151462667e-10,64909344,8858978
MOZART-4,288,5.32452748558399e-10,69312504,9336585
MOZART-4,288,5.72791980513188e-10,73794288,9828632
MOZART-4,288,6.14056083758641e-10,78351536,10334672
MOZART-4,288,6.5622846046054e-10,82981184,10854341
MOZART-4,288,6.99294067096901e-10,87679896,11386866
MOZART-4,288,7.43239136902218e-10,92444464,11931379
MOZART-4,288,7.8805134640092e-10,97271648,12486909
MOZART-4,288,8.3371964887391e-10,102158216,13052466
MOZART-4,288,8.80234496403176e-10,107101176,13626999
MOZART-4,288,9.27587673338337e-10,112097248,14209335
MOZART-4,288,9.75770797495557e-10,117143744,14798288
MOZART-4,288,1.02477692998093e-09,122237624,15392673
MOZART-4,288,1.07460407239302e-09,127376472,15991321
MOZART-4,288,1.12524922712964e-09,132557568,16593063
MOZART-4,288,1.17671072885628e-09,137778688,17196664
MOZART-4,288,1.22898791143911e-09,143037456,17800948
MOZART-4,288,1.28208110794503e-09,148331936,18404814
MOZART-4,288,1.3359919837086e-09,153660064,19007168
MOZART-4,288,1.3907250906442e-09,159020432,19607054
MOZART-4,288,1.44627787523888e-09,164410688,20203476
MOZART-4,288,1.50265677678618e-09,169829712,20795448
MOZART-4,288,1.55986623617821e-09,175275728,21382014
MOZART-4,288,1.61791080532936e-09,180747808,21962470
MOZART-4,288,1.67679092832884e-09,186244112,22535992
MOZART-4,288,1.73651515389395e-09,191763888,23101954
MOZART-4,288,1.79708969927361e-09,197305952,23659664
MOZART-4,288,1.85851922740454e-09,202869024,24208418
MOZART-4,288,1.92080862326804e-09,208452224,24747566
MOZART-4,288,1.98396277184543e-09,214054496,25276660
MOZART-4,288,2.04798600300649e-09,219675040,25795164
MOZART-4,288,2.1128820915095e-09,225313008,26302676
MOZART-4,288,2.14565831768709e-09,228138096,26552156
MOZART-4,288,2.84741297207347e-09,285353920,30891526
MOZART-4,288,3.63495100685896e-09,343480096,33933772
MOZART-4,288,4.49846071504112e-09,401982720,35794776
MOZART-4,288,5.42243405732279e-09,460455712,36720964
MOZART-4,288,6.38996278112813e-09,518584064,36959076
MOZART-4,288,7.38605310246498e-09,576149376,36718796
MOZART-4,288,8.39845171185516e-09,632998272,36158352
MOZART-4,288,9.4176293430337e-09,689026560,35391208
MOZART-4,288,1.0436461472807e-08,744175296,34497996
MOZART-4,288,1.14499254522116e-08,798422080,33541668
MOZART-4,288,1.2454238529358e-08,851756992,32555754
MOZART-4,288,1.34468356449702e-08,904186176,31565424
MOZART-4,288,1.4426063899009e-08,955728768,30594926
MOZART-4,288,1.53904124999826e-08,1006393856,29649608
MOZART-4,288,1.63391629115495e-08,1056205184,28735528
MOZART-4,288,1.72718586100018e-08,1105186816,27853200
MOZART-4,288,1.81883024197305e-08,1153361920,27004964
MOZART-4,288,1.90884623663123e-08,1200755712,26199644
MOZART-4,288,1.99724272675894e-08,1247392000,25430664
MOZART-4,288,2.08403942991708e-08,1293295104,24693196
MOZART-4,288,2.16926299145825e-08,1338487296,23986794
MOZART-4,288,2.25294840561219e-08,1382989952,23310728
MOZART-4,288,2.33513830494303e-08,1426830336,22667216
MOZART-4,288,2.41585738081085e-08,1470024192,22053528
MOZART-4,288,2.49514648942295e-08,1512588416,21465344
MOZART-4,288,2.5730447106298e-08,1554544384,20901746
MOZART-4,288,2.64959147955324e-08,1595908608,20362064
MOZART-4,288,2.72482516550099e-08,1636698112,19845308
MOZART-4,288,2.79880332243465e-08,1676937600,19351152
MOZART-4,288,2.87154904299314e-08,1716632832,18877230
MOZART-4,288,2.94309643322777e-08,1755799552,18422164
MOZART-4,288,3.01348030973259e-08,1794450048,17985468
MOZART-4,288,3.08273619964439e-08,1832595968,17566556
MOZART-4,288,3.15090282754227e-08,1870256512,17162372
MOZART-4,288,3.21801998381943e-08,1907443456,16777302
MOZART-4,288,3.28411005057205e-08,1944163584,16407024
MOZART-4,288,3.34920287059504e-08,1980430336,16051444
MOZART-4,288,3.41332864195465e-08,2016249216,15709197
MOZART-4,288,3.47651365473212e-08,2051636608,15380059
MOZART-4,288,3.53878917280781e-08,2086596736,15062652
MOZART-4,288.5,4.61409209451258e-12,1369522.625,354560.40625
MOZART-4,288.5,1.47390329108266e-11,4152808.5,1095830.875
MOZART-4,288.5,2.7401018953821e-11,7011774.5,1800423.5
MOZART-4,288.5,4.31808304390824e-11,9959972,2433334.25
MOZART-4,288.5,6.21306062154048e-11,13003588,2990732
MOZART-4,288.5,8.37765204431129e-11,16145316,3485707.25
MOZART-4,288.5,1.07627254331e-10,19386512,3934860
MOZART-4,288.5,1.33328501017438e-10,22727806,4352813
MOZART-4,288.5,1.60780458391407e-10,26169410,4751420
MOZART-4,288.5,1.89666365946195e-10,29711222,5139939
MOZART-4,288.5,2.19864418338211e-10,33352774,5525380
MOZART-4,288.5,2.51289627994922e-10,37093216,5913013
MOZART-4,288.5,2.83879975082613e-10,40931488,6306763.5
MOZART-4,288.5,3.17589371467975e-10,44866088,6709540
MOZART-4,288.5,3.52379070367448e-10,48895232,7123492
MOZART-4,288.5,3.88224313807584e-10,53016992,7550098
MOZART-4,288.5,4.25099011547303e-10,57228996,7990387.5
MOZART-4,288.5,4.6298104239284e-10,61528840,8444982
MOZART-4,288.5,5.01964803056865e-10,65913768,8914361
MOZART-4,288.5,5.41953482091628e-10,70380824,9398485
MOZART-4,288.5,5.82891068745539e-10,74926912,9897157
MOZART-4,288.5,6.24759133316388e-10,79548968,10409912
MOZART-4,288.5,6.67540522858445e-10,84243632,10936387
MOZART-4,288.5,7.11219638738214e-10,89007640,11475786
MOZART-4,288.5,7.55782214589829e-10,93837816,12027134
MOZART-4,288.5,8.01215649381959e-10,98730664,12589527
MOZART-4,288.5,8.47508563328603e-10,103683152,13161923
MOZART-4,288.5,8.94651186467144e-10,108692032,13743214
MOZART-4,288.5,9.42634970080292e-10,113754152,14332202
MOZART-4,288.5,9.91452475673782e-10,118866776,14927687
MOZART-4,288.5,1.04109443288536e-09,124026936,15528465
MOZART-4,288.5,1.09156017558121e-09,129231944,16133354
MOZART-4,288.5,1.14284659513686e-09,134479312,16741129
MOZART-4,288.5,1.19495191519547e-09,139766784,17350568
MOZART-4,288.5,1.24787546962324e-09,145092112,17960522
