Mechanism,Temperature,NOx.Emissions,Reaction,Rate.Constant
MCMv3.2,288,1348722.625,INAHPCO3 + NO2 = INAHPPAN,9.82464370274938e-12
MCMv3.2,288,4089251.75,H1C23C4CO3 + NO2 = H1C23C4PAN,9.82464370274938e-12
MCMv3.2,288,6903793.5,NC4CO3 + NO2 = C5PAN18,9.82464370274938e-12
MCMv3.2,288,9805888,C823CO3 + NO2 = C823PAN,9.82464370274938e-12
MCMv3.2,288,12801769,CO2C3CO3 + NO2 = CO2C3PAN,9.82464370274938e-12
MCMv3.2,288,15894183,MEMOXYCO3 + NO2 = MEMOXYPAN,9.82464370274938e-12
MCMv3.2,288,19084550,MC4CODBCO3 + NO2 = MC4CODBPAN,9.82464370274938e-12
MCMv3.2,288,22373582,C3MNO3CO3 + NO2 = C3MNO3PAN,9.82464370274938e-12
MCMv3.2,288,25761522,C43NO3CO3 + NO2 = C43NO3PAN,9.82464370274938e-12
MCMv3.2,288,29248352,C96CO3 + NO2 = C10PAN2,9.82464370274938e-12
MCMv3.2,288,32833664,HO2 + NO2 = HO2NO2,1.48635021391536e-12
MCMv3.2,288,36516756,C62CO3 + NO2 = C62CPAN,9.82464370274938e-12
MCMv3.2,288,40296492,NO2 + NO3CH2CO3 = NO3CH2PAN,9.82464370274938e-12
MCMv3.2,288,44171564,HO2C3CO3 + NO2 = C4PAN3,9.82464370274938e-12
MCMv3.2,288,48140300,CO2OH3MCO3 + NO2 = CO2OH3MPAN,9.82464370274938e-12
MCMv3.2,288,52200700,CCL3CO3 + NO2 = CCL3PAN,9.82464370274938e-12
MCMv3.2,288,56350692,CO2H3CO3 + NO2 = C4PAN6,9.82464370274938e-12
MCMv3.2,288,60587808,C721CO3 + NO2 = C721PAN,9.82464370274938e-12
MCMv3.2,288,64909348,ECO3CO3 + NO2 = ECO3PAN,9.82464370274938e-12
MCMv3.2,288,69312504,NO2 + PXYMUCCO3 = PXYMUCPAN,9.82464370274938e-12
MCMv3.2,288,73794288,EPXMKTCO3 + NO2 = EPXMKTPAN,9.82464370274938e-12
MCMv3.2,288,78351536,C7ADCCO3 + NO2 = C7ADCPAN,9.82464370274938e-12
MCMv3.2,288,82981192,C6COCHOCO3 + NO2 = C6COCHOPAN,9.82464370274938e-12
MCMv3.2,288,87679896,CHOOMCO3 + NO2 = CHOOMPAN,9.82464370274938e-12
MCMv3.2,288,92444464,C5H11CO3 + NO2 = PHXN,9.82464370274938e-12
MCMv3.2,288,97271648,M33C3CO3 + NO2 = C6PAN15,9.82464370274938e-12
MCMv3.2,288,102158216,NO2 + TBUACCO3 = TBUACPAN,9.82464370274938e-12
MCMv3.2,288,107101176,METLMUCCO3 + NO2 = METLMUCPAN,9.82464370274938e-12
MCMv3.2,288,112097256,EPXKTMCO3 + NO2 = EPXKTMPAN,9.82464370274938e-12
MCMv3.2,288,117143744,C7CODBCO3 + NO2 = C7CODBPAN,9.82464370274938e-12
MCMv3.2,288,122237624,C727CO3 + NO2 = C727PAN,9.82464370274938e-12
MCMv3.2,288,127376472,H13C43CO3 + NO2 = C5PAN12,9.82464370274938e-12
MCMv3.2,288,132557568,C5CO34CO3 + NO2 = C6CO134PAN,9.82464370274938e-12
MCMv3.2,288,137778688,MMALNBCO3 + NO2 = MMALNBPAN,9.82464370274938e-12
MCMv3.2,288,143037456,HM22C3CO3 + NO2 = C6PAN14,9.82464370274938e-12
MCMv3.2,288,148331936,C5MEJCO3 + NO2 = C5MEJPAN,9.82464370274938e-12
MCMv3.2,288,153660064,NO2 + TM123BCO3 = TM123BPAN,9.82464370274938e-12
MCMv3.2,288,159020432,HOIBUTCO3 + NO2 = C5PAN3,9.82464370274938e-12
MCMv3.2,288,164410688,CL2OHCO3 + NO2 = CL2OHPAN,9.82464370274938e-12
MCMv3.2,288,169829712,C5M2OHOCO3 + NO2 = C5M2OHOPAN,9.82464370274938e-12
MCMv3.2,288,175275728,C618CO3 + NO2 = C618PAN,9.82464370274938e-12
MCMv3.2,288,180747792,C4OHCO3 + NO2 = C4OHPAN,9.82464370274938e-12
MCMv3.2,288,186244096,A2PANOO + NO2 = A2PAN,9.82464370274938e-12
MCMv3.2,288,191763888,C511CO3 + NO2 = C511PAN,9.82464370274938e-12
MCMv3.2,288,197305952,CO3C54CO3 + NO2 = C6PAN6,9.82464370274938e-12
MCMv3.2,288,202869008,H2M3C4CO3 + NO2 = C6PAN11,9.82464370274938e-12
MCMv3.2,288,208452224,C3COCCO3 + NO2 = C3COCPAN,9.82464370274938e-12
MCMv3.2,288,214054480,HO13C3CO3 + NO2 = C4PAN2,9.82464370274938e-12
MCMv3.2,288,219675040,CO25C6CO3 + NO2 = C627PAN,9.82464370274938e-12
