Mechanism,Temperature,NOx.Emissions,Rate.Constant
MCMv3.2,288,1348722.625,6.02939071541186e-05
MCMv3.2,288,4089251.75,6.02939071541186e-05
MCMv3.2,288,6903793.5,6.02939071541186e-05
MCMv3.2,288,9805888,6.02939071541186e-05
MCMv3.2,288,12801769,6.02939071541186e-05
MCMv3.2,288,15894183,6.02939071541186e-05
MCMv3.2,288,19084550,6.02939071541186e-05
MCMv3.2,288,22373582,6.02939071541186e-05
MCMv3.2,288,25761522,6.02939071541186e-05
MCMv3.2,288,29248352,6.02939071541186e-05
MCMv3.2,288,32833664,6.02939071541186e-05
MCMv3.2,288,36516756,6.02939071541186e-05
MCMv3.2,288,40296492,6.02939071541186e-05
MCMv3.2,288,44171564,6.02939071541186e-05
MCMv3.2,288,48140300,6.02939071541186e-05
MCMv3.2,288,52200700,6.02939071541186e-05
MCMv3.2,288,56350692,6.02939071541186e-05
MCMv3.2,288,60587808,6.02939071541186e-05
MCMv3.2,288,64909348,6.02939071541186e-05
MCMv3.2,288,69312504,6.02939071541186e-05
MCMv3.2,288,73794288,6.02939071541186e-05
MCMv3.2,288,78351536,6.02939071541186e-05
MCMv3.2,288,82981192,6.02939071541186e-05
MCMv3.2,288,87679896,6.02939071541186e-05
MCMv3.2,288,92444464,6.02939071541186e-05
MCMv3.2,288,97271648,6.02939071541186e-05
MCMv3.2,288,102158216,6.02939071541186e-05
MCMv3.2,288,107101176,6.02939071541186e-05
MCMv3.2,288,112097256,6.02939071541186e-05
MCMv3.2,288,117143744,6.02939071541186e-05
MCMv3.2,288,122237624,6.02939071541186e-05
MCMv3.2,288,127376472,6.02939071541186e-05
MCMv3.2,288,132557568,6.02939071541186e-05
MCMv3.2,288,137778688,6.02939071541186e-05
MCMv3.2,288,143037456,6.02939071541186e-05
MCMv3.2,288,148331936,6.02939071541186e-05
MCMv3.2,288,153660064,6.02939071541186e-05
MCMv3.2,288,159020432,6.02939071541186e-05
MCMv3.2,288,164410688,6.02939071541186e-05
MCMv3.2,288,169829712,6.02939071541186e-05
MCMv3.2,288,175275728,6.02939071541186e-05
MCMv3.2,288,180747792,6.02939071541186e-05
MCMv3.2,288,186244096,6.02939071541186e-05
MCMv3.2,288,191763888,6.02939071541186e-05
MCMv3.2,288,197305952,6.02939071541186e-05
MCMv3.2,288,202869008,6.02939071541186e-05
MCMv3.2,288,208452224,6.02939071541186e-05
MCMv3.2,288,214054480,6.02939071541186e-05
MCMv3.2,288,219675040,6.02939071541186e-05
MCMv3.2,288,225313008,6.02939071541186e-05
MCMv3.2,288,228138096,6.02939071541186e-05
MCMv3.2,288,285353920,6.02939071541186e-05
MCMv3.2,288,343480096,6.02939071541186e-05
MCMv3.2,288,401982752,6.02939071541186e-05
MCMv3.2,288,460455744,6.02939071541186e-05
MCMv3.2,288,518584064,6.02939071541186e-05
MCMv3.2,288,576149376,6.02939071541186e-05
MCMv3.2,288,632998272,6.02939071541186e-05
MCMv3.2,288,689026560,6.02939071541186e-05
MCMv3.2,288,744175296,6.02939071541186e-05
MCMv3.2,288,798422144,6.02939071541186e-05
MCMv3.2,288,851756992,6.02939071541186e-05
MCMv3.2,288,904186176,6.02939071541186e-05
MCMv3.2,288,955728768,6.02939071541186e-05
MCMv3.2,288,1006393856,6.02939071541186e-05
MCMv3.2,288,1056205184,6.02939071541186e-05
MCMv3.2,288,1105186816,6.02939071541186e-05
MCMv3.2,288,1153361792,6.02939071541186e-05
MCMv3.2,288,1200755712,6.02939071541186e-05
MCMv3.2,288,1247392000,6.02939071541186e-05
MCMv3.2,288,1293295104,6.02939071541186e-05
MCMv3.2,288,1338487296,6.02939071541186e-05
MCMv3.2,288,1382989952,6.02939071541186e-05
MCMv3.2,288,1426830336,6.02939071541186e-05
MCMv3.2,288,1470024192,6.02939071541186e-05
MCMv3.2,288,1512588416,6.02939071541186e-05
MCMv3.2,288,1554544384,6.02939071541186e-05
MCMv3.2,288,1595908736,6.02939071541186e-05
MCMv3.2,288,1636698240,6.02939071541186e-05
MCMv3.2,288,1676937728,6.02939071541186e-05
MCMv3.2,288,1716632832,6.02939071541186e-05
MCMv3.2,288,1755799552,6.02939071541186e-05
MCMv3.2,288,1794450048,6.02939071541186e-05
MCMv3.2,288,1832595968,6.02939071541186e-05
MCMv3.2,288,1870256512,6.02939071541186e-05
MCMv3.2,288,1907443456,6.02939071541186e-05
MCMv3.2,288,1944163584,6.02939071541186e-05
MCMv3.2,288,1980430208,6.02939071541186e-05
MCMv3.2,288,2016249216,6.02939071541186e-05
MCMv3.2,288,2051636608,6.02939071541186e-05
MCMv3.2,288,2086596864,6.02939071541186e-05
MCMv3.2,288.5,1369522.375,6.54835457680747e-05
MCMv3.2,288.5,4152808.5,6.54835457680747e-05
MCMv3.2,288.5,7011774.5,6.54835457680747e-05
MCMv3.2,288.5,9959972,6.54835457680747e-05
MCMv3.2,288.5,13003588,6.54835457680747e-05
MCMv3.2,288.5,16145316,6.54835457680747e-05
MCMv3.2,288.5,19386512,6.54835457680747e-05
MCMv3.2,288.5,22727806,6.54835457680747e-05
MCMv3.2,288.5,26169410,6.54835457680747e-05
MCMv3.2,288.5,29711222,6.54835457680747e-05
MCMv3.2,288.5,33352774,6.54835457680747e-05
MCMv3.2,288.5,37093216,6.54835457680747e-05
MCMv3.2,288.5,40931488,6.54835457680747e-05
MCMv3.2,288.5,44866084,6.54835457680747e-05
MCMv3.2,288.5,48895228,6.54835457680747e-05
MCMv3.2,288.5,53016988,6.54835457680747e-05
MCMv3.2,288.5,57228996,6.54835457680747e-05
MCMv3.2,288.5,61528844,6.54835457680747e-05
MCMv3.2,288.5,65913768,6.54835457680747e-05
MCMv3.2,288.5,70380824,6.54835457680747e-05
MCMv3.2,288.5,74926912,6.54835457680747e-05
MCMv3.2,288.5,79548960,6.54835457680747e-05
MCMv3.2,288.5,84243640,6.54835457680747e-05
MCMv3.2,288.5,89007640,6.54835457680747e-05
MCMv3.2,288.5,93837816,6.54835457680747e-05
MCMv3.2,288.5,98730664,6.54835457680747e-05
MCMv3.2,288.5,103683152,6.54835457680747e-05
MCMv3.2,288.5,108692032,6.54835457680747e-05
MCMv3.2,288.5,113754152,6.54835457680747e-05
MCMv3.2,288.5,118866784,6.54835457680747e-05
MCMv3.2,288.5,124026920,6.54835457680747e-05
MCMv3.2,288.5,129231952,6.54835457680747e-05
MCMv3.2,288.5,134479312,6.54835457680747e-05
MCMv3.2,288.5,139766784,6.54835457680747e-05
MCMv3.2,288.5,145092112,6.54835457680747e-05
MCMv3.2,288.5,150453040,6.54835457680747e-05
MCMv3.2,288.5,155847840,6.54835457680747e-05
MCMv3.2,288.5,161274736,6.54835457680747e-05
MCMv3.2,288.5,166731808,6.54835457680747e-05
MCMv3.2,288.5,172217760,6.54835457680747e-05
MCMv3.2,288.5,177730752,6.54835457680747e-05
MCMv3.2,288.5,183269904,6.54835457680747e-05
MCMv3.2,288.5,188833696,6.54835457680747e-05
MCMv3.2,288.5,194420896,6.54835457680747e-05
MCMv3.2,288.5,200030336,6.54835457680747e-05
MCMv3.2,288.5,205661072,6.54835457680747e-05
MCMv3.2,288.5,211312144,6.54835457680747e-05
MCMv3.2,288.5,216982576,6.54835457680747e-05
MCMv3.2,288.5,222671136,6.54835457680747e-05
MCMv3.2,288.5,228377056,6.54835457680747e-05
MCMv3.2,288.5,231236432,6.54835457680747e-05
MCMv3.2,288.5,289139136,6.54835457680747e-05
MCMv3.2,288.5,347954016,6.54835457680747e-05
MCMv3.2,288.5,407140192,6.54835457680747e-05
MCMv3.2,288.5,466284736,6.54835457680747e-05
MCMv3.2,288.5,525068832,6.54835457680747e-05
MCMv3.2,288.5,583271360,6.54835457680747e-05
MCMv3.2,288.5,640735616,6.54835457680747e-05
MCMv3.2,288.5,697357568,6.54835457680747e-05
MCMv3.2,288.5,753079808,6.54835457680747e-05
MCMv3.2,288.5,807879360,6.54835457680747e-05
MCMv3.2,288.5,861745280,6.54835457680747e-05
MCMv3.2,288.5,914687168,6.54835457680747e-05
MCMv3.2,288.5,966721344,6.54835457680747e-05
MCMv3.2,288.5,1017862592,6.54835457680747e-05
MCMv3.2,288.5,1068134528,6.54835457680747e-05
MCMv3.2,288.5,1117560192,6.54835457680747e-05
MCMv3.2,288.5,1166164864,6.54835457680747e-05
MCMv3.2,288.5,1213975936,6.54835457680747e-05
MCMv3.2,288.5,1261015296,6.54835457680747e-05
MCMv3.2,288.5,1307309440,6.54835457680747e-05
MCMv3.2,288.5,1352882304,6.54835457680747e-05
MCMv3.2,288.5,1397756672,6.54835457680747e-05
MCMv3.2,288.5,1441953920,6.54835457680747e-05
MCMv3.2,288.5,1485495808,6.54835457680747e-05
MCMv3.2,288.5,1528399616,6.54835457680747e-05
MCMv3.2,288.5,1570685184,6.54835457680747e-05
MCMv3.2,288.5,1612370944,6.54835457680747e-05
MCMv3.2,288.5,1653484288,6.54835457680747e-05
MCMv3.2,288.5,1694026112,6.54835457680747e-05
MCMv3.2,288.5,1734019456,6.54835457680747e-05
MCMv3.2,288.5,1773476736,6.54835457680747e-05
