Mechanism,Temperature,Reaction,Rate.Constant
MOZART-4,288,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,288,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,288,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,288,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,288,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,288,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,288,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,288,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,288,MPAN = UNITY,3.9999998989515e-05
MOZART-4,288,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,288,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,288,PAN = UNITY,3.9999998989515e-05
MOZART-4,288.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,288.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,288.5,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,288.5,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,288.5,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,288.5,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,288.5,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,288.5,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,288.5,MPAN = UNITY,3.9999998989515e-05
MOZART-4,288.5,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,288.5,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,288.5,PAN = UNITY,3.9999998989515e-05
MOZART-4,289,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,289,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,289,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,289,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,289,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,289,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,289,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,289,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,289,MPAN = UNITY,3.9999998989515e-05
MOZART-4,289,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,289,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,289,PAN = UNITY,3.9999998989515e-05
MOZART-4,289.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,289.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,289.5,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,289.5,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,289.5,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,289.5,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,289.5,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,289.5,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,289.5,MPAN = UNITY,3.9999998989515e-05
MOZART-4,289.5,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,289.5,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,289.5,PAN = UNITY,3.9999998989515e-05
MOZART-4,290,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,290,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,290,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,290,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,290,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,290,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,290,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,290,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,290,MPAN = UNITY,3.9999998989515e-05
MOZART-4,290,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,290,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,290,PAN = UNITY,3.9999998989515e-05
MOZART-4,290.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,290.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,290.5,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,290.5,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,290.5,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,290.5,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,290.5,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,290.5,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,290.5,MPAN = UNITY,3.9999998989515e-05
MOZART-4,290.5,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,290.5,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,290.5,PAN = UNITY,3.9999998989515e-05
MOZART-4,291,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,291,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,291,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,291,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,291,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,291,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,291,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,291,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,291,MPAN = UNITY,3.9999998989515e-05
MOZART-4,291,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,291,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,291,PAN = UNITY,3.9999998989515e-05
MOZART-4,291.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,291.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
