Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Reaction,Rate,Net.Reaction.Rate
RADM2,288,9.11969631756104e-12,1348722.625,HO2NO2 = HO2 + NO2,-1333948.5,176706.28125
RADM2,288,9.11969631756104e-12,1348722.625,PAN = ACO3 + NO2,-309429.9375,176706.28125
RADM2,288,9.11969631756104e-12,1348722.625,Others,-103131.974161148,176706.28125
RADM2,288,9.11969631756104e-12,1348722.625,HO2 + NO2 = HO2NO2,1336589.875,176706.28125
RADM2,288,9.11969631756104e-12,1348722.625,ACO3 + NO2 = PAN,536060.9375,176706.28125
RADM2,288,9.11969631756104e-12,1348722.625,Others,50565.7109375,176706.28125
RADM2,288,2.98554861388745e-11,4089251.75,HO2NO2 = HO2 + NO2,-5643082,589331.8125
RADM2,288,2.98554861388745e-11,4089251.75,PAN = ACO3 + NO2,-1058397,589331.8125
RADM2,288,2.98554861388745e-11,4089251.75,PAN = UNITY,-256943.34375,589331.8125
RADM2,288,2.98554861388745e-11,4089251.75,TPAN = TCO3 + NO2,-148431.171875,589331.8125
RADM2,288,2.98554861388745e-11,4089251.75,Others,-36804.4642791748,589331.8125
RADM2,288,2.98554861388745e-11,4089251.75,HO2 + NO2 = HO2NO2,5654599.5,589331.8125
RADM2,288,2.98554861388745e-11,4089251.75,ACO3 + NO2 = PAN,1823048.75,589331.8125
RADM2,288,2.98554861388745e-11,4089251.75,TCO3 + NO2 = TPAN,255338.40625,589331.8125
RADM2,288,5.26370821929412e-11,6903793.5,HO2NO2 = HO2 + NO2,-11287804,1005480.5625
RADM2,288,5.26370821929412e-11,6903793.5,PAN = ACO3 + NO2,-1820878.625,1005480.5625
RADM2,288,5.26370821929412e-11,6903793.5,PAN = UNITY,-461837.21875,1005480.5625
RADM2,288,5.26370821929412e-11,6903793.5,TPAN = TCO3 + NO2,-294056,1005480.5625
RADM2,288,5.26370821929412e-11,6903793.5,Others,-76003.4716491699,1005480.5625
RADM2,288,5.26370821929412e-11,6903793.5,HO2 + NO2 = HO2NO2,11311268,1005480.5625
RADM2,288,5.26370821929412e-11,6903793.5,ACO3 + NO2 = PAN,3129614.75,1005480.5625
RADM2,288,5.26370821929412e-11,6903793.5,TCO3 + NO2 = TPAN,505175.5,1005480.5625
RADM2,288,7.65252791690152e-11,9805887,HO2NO2 = HO2 + NO2,-17653066,1430215.75
RADM2,288,7.65252791690152e-11,9805887,PAN = ACO3 + NO2,-2604100,1430215.75
RADM2,288,7.65252791690152e-11,9805887,PAN = UNITY,-676043.375,1430215.75
RADM2,288,7.65252791690152e-11,9805887,TPAN = TCO3 + NO2,-448745,1430215.75
RADM2,288,7.65252791690152e-11,9805887,TPAN = UNITY,-117383.046875,1430215.75
RADM2,288,7.65252791690152e-11,9805887,Others,-1084.01959228516,1430215.75
RADM2,288,7.65252791690152e-11,9805887,HO2 + NO2 = HO2NO2,17690074,1430215.75
RADM2,288,7.65252791690152e-11,9805887,ACO3 + NO2 = PAN,4470090,1430215.75
RADM2,288,7.65252791690152e-11,9805887,TCO3 + NO2 = TPAN,770463.25,1430215.75
RADM2,288,1.01033528765448e-10,12801769,HO2NO2 = HO2 + NO2,-24463380,1873101.375
RADM2,288,1.01033528765448e-10,12801769,PAN = ACO3 + NO2,-3428197.5,1873101.375
RADM2,288,1.01033528765448e-10,12801769,PAN = UNITY,-902957.5,1873101.375
RADM2,288,1.01033528765448e-10,12801769,TPAN = TCO3 + NO2,-608869.4375,1873101.375
RADM2,288,1.01033528765448e-10,12801769,TPAN = UNITY,-161144.609375,1873101.375
RADM2,288,1.01033528765448e-10,12801769,Others,-1663.64984130859,1873101.375
RADM2,288,1.01033528765448e-10,12801769,HO2 + NO2 = HO2NO2,24514912,1873101.375
RADM2,288,1.01033528765448e-10,12801769,ACO3 + NO2 = PAN,5879401,1873101.375
RADM2,288,1.01033528765448e-10,12801769,TCO3 + NO2 = TPAN,1045010.1875,1873101.375
RADM2,288,1.26002125400149e-10,15894183,HO2NO2 = HO2 + NO2,-31582296,2339177
RADM2,288,1.26002125400149e-10,15894183,PAN = ACO3 + NO2,-4304355.5,2339177
RADM2,288,1.26002125400149e-10,15894183,PAN = UNITY,-1144991.75,2339177
RADM2,288,1.26002125400149e-10,15894183,TPAN = TCO3 + NO2,-773226.9375,2339177
RADM2,288,1.26002125400149e-10,15894183,TPAN = UNITY,-206170.078125,2339177
RADM2,288,1.26002125400149e-10,15894183,Others,-2378.34228515625,2339177
RADM2,288,1.26002125400149e-10,15894183,HO2 + NO2 = HO2NO2,31649058,2339177
RADM2,288,1.26002125400149e-10,15894183,ACO3 + NO2 = PAN,7376803,2339177
RADM2,288,1.26002125400149e-10,15894183,TCO3 + NO2 = TPAN,1326739.875,2339177
RADM2,288,1.51364754064076e-10,19084550,HO2NO2 = HO2 + NO2,-38934408,2831142.5
RADM2,288,1.51364754064076e-10,19084550,PAN = ACO3 + NO2,-5238456,2831142.5
RADM2,288,1.51364754064076e-10,19084550,PAN = UNITY,-1403535.5,2831142.5
RADM2,288,1.51364754064076e-10,19084550,TPAN = TCO3 + NO2,-941189.6875,2831142.5
RADM2,288,1.51364754064076e-10,19084550,TPAN = UNITY,-252224.078125,2831142.5
RADM2,288,1.51364754064076e-10,19084550,Others,-3237.64318847656,2831142.5
RADM2,288,1.51364754064076e-10,19084550,HO2 + NO2 = HO2NO2,39016984,2831142.5
RADM2,288,1.51364754064076e-10,19084550,ACO3 + NO2 = PAN,8972585,2831142.5
RADM2,288,1.51364754064076e-10,19084550,TCO3 + NO2 = TPAN,1614609.875,2831142.5
RADM2,288,1.77094186537552e-10,22373582,HO2NO2 = HO2 + NO2,-46473016,3350255.5
RADM2,288,1.77094186537552e-10,22373582,PAN = ACO3 + NO2,-6233515.5,3350255.5
RADM2,288,1.77094186537552e-10,22373582,PAN = UNITY,-1679293.75,3350255.5
RADM2,288,1.77094186537552e-10,22373582,TPAN = TCO3 + NO2,-1112308.875,3350255.5
RADM2,288,1.77094186537552e-10,22373582,TPAN = UNITY,-299149.46875,3350255.5
RADM2,288,1.77094186537552e-10,22373582,Others,-4250.68371582031,3350255.5
RADM2,288,1.77094186537552e-10,22373582,HO2 + NO2 = HO2NO2,46571952,3350255.5
RADM2,288,1.77094186537552e-10,22373582,ACO3 + NO2 = PAN,10671994,3350255.5
RADM2,288,1.77094186537552e-10,22373582,TCO3 + NO2 = TPAN,1907846.25,3350255.5
RADM2,288,2.03182581870465e-10,25761522,HO2NO2 = HO2 + NO2,-54166776,3896935.75
RADM2,288,2.03182581870465e-10,25761522,PAN = ACO3 + NO2,-7290768,3896935.75
RADM2,288,2.03182581870465e-10,25761522,PAN = UNITY,-1972489.375,3896935.75
RADM2,288,2.03182581870465e-10,25761522,TPAN = TCO3 + NO2,-1286184.875,3896935.75
RADM2,288,2.03182581870465e-10,25761522,TPAN = UNITY,-346814.34375,3896935.75
RADM2,288,2.03182581870465e-10,25761522,Others,-5426.203125,3896935.75
RADM2,288,2.03182581870465e-10,25761522,HO2 + NO2 = HO2NO2,54282460,3896935.75
RADM2,288,2.03182581870465e-10,25761522,ACO3 + NO2 = PAN,12477164,3896935.75
RADM2,288,2.03182581870465e-10,25761522,TCO3 + NO2 = TPAN,2205769.5,3896935.75
RADM2,288,2.29632091119925e-10,29248352,HO2NO2 = HO2 + NO2,-61993136,4471260.5
RADM2,288,2.29632091119925e-10,29248352,PAN = ACO3 + NO2,-8410553,4471260.5
RADM2,288,2.29632091119925e-10,29248352,PAN = UNITY,-2283101.75,4471260.5
RADM2,288,2.29632091119925e-10,29248352,TPAN = TCO3 + NO2,-1462495.125,4471260.5
RADM2,288,2.29632091119925e-10,29248352,TPAN = UNITY,-395113.46875,4471260.5
RADM2,288,2.29632091119925e-10,29248352,Others,-6772.68115234375,4471260.5
RADM2,288,2.29632091119925e-10,29248352,HO2 + NO2 = HO2NO2,62125948,4471260.5
RADM2,288,2.29632091119925e-10,29248352,ACO3 + NO2 = PAN,14388689,4471260.5
