Mechanism,NOx.Emissions,Temperature,O3
CRI,165050096,288.00,46.1718215942383
CRI,952872.375,288.00,36.8158569335938
CRI,2881002.5,288.00,36.8952522277832
CRI,4851853.5,288.00,36.9809150695801
CRI,6876656,288.00,37.0751647949219
CRI,8961730,288.00,37.1785125732422
CRI,11110206,288.00,37.2902297973633
CRI,13323656,288.00,37.4093933105469
CRI,15603004,288.00,37.5352478027344
CRI,17948848,288.00,37.6672172546387
CRI,20361564,288.00,37.8048553466797
CRI,22841464,288.00,37.9478492736816
CRI,25388700,288.00,38.0959243774414
CRI,28003350,288.00,38.2488403320312
CRI,30685396,288.00,38.4063835144043
CRI,33434626,288.00,38.5683364868164
CRI,36250828,288.00,38.7344512939453
CRI,39133552,288.00,38.9044990539551
CRI,42082212,288.00,39.0782699584961
CRI,45096080,288.00,39.2555313110352
CRI,48174296,288.00,39.4360466003418
CRI,51315804,288.00,39.6195411682129
CRI,54519612,288.00,39.805534362793
CRI,57784356,288.00,39.9938659667969
CRI,61108708,288.00,40.1842842102051
CRI,64491124,288.00,40.3765029907227
CRI,67929968,288.00,40.5702323913574
CRI,71423736,288.00,40.7651634216309
CRI,74970584,288.00,40.9609603881836
CRI,78569064,288.00,41.1571769714355
CRI,82217000,288.00,41.3536376953125
CRI,85912512,288.00,41.5499229431152
CRI,89653816,288.00,41.7458610534668
CRI,93439128,288.00,41.9411506652832
CRI,97266560,288.00,42.1466484069824
CRI,101134224,288.00,42.3875350952148
CRI,105040392,288.00,42.6368980407715
CRI,108983072,288.00,42.8897895812988
CRI,112960704,288.00,43.140323638916
CRI,116971656,288.00,43.3882064819336
CRI,121014160,288.00,43.6392555236816
CRI,125086832,288.00,43.8952789306641
CRI,129188320,288.00,44.1478462219238
CRI,133317264,288.00,44.3967056274414
CRI,137472528,288.00,44.6416511535645
CRI,141652912,288.00,44.8824653625488
CRI,145857440,288.00,45.1189575195312
CRI,150085056,288.00,45.353401184082
CRI,154334688,288.00,45.5933380126953
CRI,158605536,288.00,45.8284568786621
CRI,162897024,288.00,46.0586318969727
CRI,209030064,288.00,48.1812515258789
CRI,254401648,288.00,49.7111587524414
CRI,300721344,288.00,50.7782669067383
CRI,347617952,288.00,51.3987655639648
CRI,394774944,288.00,51.7208709716797
CRI,441948736,288.00,51.7383117675781
CRI,488953408,288.00,51.5943183898926
CRI,535654368,288.00,51.2706527709961
CRI,581952768,288.00,50.8589172363281
CRI,627771712,288.00,50.3600234985352
CRI,673068032,288.00,49.7960243225098
CRI,717807104,288.00,49.2194137573242
CRI,761974720,288.00,48.5952377319336
CRI,805563520,288.00,47.9690551757812
CRI,848574464,288.00,47.3433494567871
CRI,891009664,288.00,46.698802947998
CRI,932875456,288.00,46.0707550048828
CRI,974179136,288.00,45.4578590393066
CRI,1014932160,288.00,44.838981628418
CRI,1055145088,288.00,44.2252006530762
CRI,1094831616,288.00,43.652961730957
CRI,1134003200,288.00,43.0806655883789
CRI,1172673664,288.00,42.5107383728027
CRI,1210855424,288.00,41.9558219909668
CRI,1248562048,288.00,41.4392700195312
CRI,1285806976,288.00,40.9267311096191
CRI,1322601088,288.00,40.4191017150879
CRI,1358954752,288.00,39.917366027832
CRI,1394875264,288.00,39.4487228393555
CRI,1430374144,288.00,38.999698638916
CRI,1465464192,288.00,38.5558624267578
CRI,1500153856,288.00,38.117733001709
CRI,1534452992,288.00,37.6857261657715
CRI,1568372992,288.00,37.264102935791
CRI,1601919104,288.00,36.8819198608398
CRI,1635104384,288.00,36.5046195983887
