Mechanism,NOx.Emissions,Temperature,H2O2
RADM2,255009728,288.00,0.268340738518447
RADM2,1741710.5,288.00,0.102969417714593
RADM2,5346085.5,288.00,0.202517544400926
RADM2,9083699,288.00,0.262045496413066
RADM2,12935643,288.00,0.299876123932563
RADM2,16892162,288.00,0.326092236546671
RADM2,20946400,288.00,0.345340339658051
RADM2,25093106,288.00,0.359982765818501
RADM2,29327402,288.00,0.37134956221152
RADM2,33644964,288.00,0.380250192444365
RADM2,38041548,288.00,0.387210347119193
RADM2,42513752,288.00,0.392590238096346
RADM2,47058188,288.00,0.396651239631396
RADM2,51671808,288.00,0.39958802933171
RADM2,56351548,288.00,0.40155145875076
RADM2,61094928,288.00,0.402662264642473
RADM2,65899456,288.00,0.403019589922948
RADM2,70762928,288.00,0.402707533986302
RADM2,75683352,288.00,0.401796484972294
RADM2,80659448,288.00,0.400551009027694
RADM2,85690360,288.00,0.398993837968931
RADM2,90775000,288.00,0.397002652974265
RADM2,95911704,288.00,0.394617949428522
RADM2,101097368,288.00,0.391874976912732
RADM2,106328392,288.00,0.388806681295151
RADM2,111601200,288.00,0.385443260642049
RADM2,116912432,288.00,0.381812109706559
RADM2,122259640,288.00,0.377938458306915
RADM2,127640496,288.00,0.373845676637785
RADM2,133053312,288.00,0.369555497314877
RADM2,138496928,288.00,0.36551758841874
RADM2,143969696,288.00,0.361319557606876
RADM2,149470240,288.00,0.356972951198742
RADM2,154998304,288.00,0.352493229049955
RADM2,160552512,288.00,0.347894990593289
RADM2,166131296,288.00,0.343191725038494
RADM2,171734256,288.00,0.338396116683626
RADM2,177360464,288.00,0.333520128181775
RADM2,183008784,288.00,0.32857502829664
RADM2,188678080,288.00,0.323571391902533
RADM2,194367072,288.00,0.318519294273401
RADM2,200074752,288.00,0.313670533991228
RADM2,205800912,288.00,0.308964270834267
RADM2,211543152,288.00,0.304225256098078
RADM2,217299984,288.00,0.299461011543656
RADM2,223070464,288.00,0.294678781376234
RADM2,228854432,288.00,0.289885282445113
RADM2,234650272,288.00,0.285087092821712
RADM2,240456368,288.00,0.280290290977092
RADM2,246271504,288.00,0.275500511293103
RADM2,252095152,288.00,0.270723138351414
RADM2,313501184,288.00,0.223683613298498
RADM2,371817408,288.00,0.186283821701494
RADM2,429397024,288.00,0.1593717657844
RADM2,485932480,288.00,0.140340752907697
RADM2,541284544,288.00,0.126194721339346
RADM2,595417536,288.00,0.115387817356538
RADM2,648340864,288.00,0.106820059742052
RADM2,700102976,288.00,0.10000438671609
RADM2,750766272,288.00,0.0938929003990729
RADM2,800397760,288.00,0.0891959631155181
RADM2,849062272,288.00,0.0846996361936192
RADM2,896821568,288.00,0.0808606306912374
RADM2,943722368,288.00,0.0776790784473569
RADM2,989835584,288.00,0.0746001524443152
RADM2,1035211200,288.00,0.0716330189609593
RADM2,1079893120,288.00,0.0689463902636689
RADM2,1123933568,288.00,0.0669080346682449
RADM2,1167362304,288.00,0.064914081054912
RADM2,1210214784,288.00,0.0629688037823151
RADM2,1252520064,288.00,0.0610750963692119
RADM2,1294304640,288.00,0.0592351862005458
RADM2,1335591808,288.00,0.0574508843276256
RADM2,1376407168,288.00,0.0557232870956881
RADM2,1416772480,288.00,0.0543085021398326
RADM2,1456720768,288.00,0.0531414010018771
RADM2,1496247936,288.00,0.051991171784449
RADM2,1535377792,288.00,0.0508593167580784
RADM2,1574119936,288.00,0.0497470849236681
RADM2,1612484736,288.00,0.0486554928291749
RADM2,1650488960,288.00,0.0475853453862918
RADM2,1688143744,288.00,0.0465372775038109
RADM2,1725458304,288.00,0.0455117575570707
RADM2,1762448000,288.00,0.0445091082046378
RADM2,1799124864,288.00,0.0435295272049885
RADM2,1835502976,288.00,0.0425744509091608
RADM2,1871579520,288.00,0.0416425470495252
RADM2,1907360384,288.00,0.0407336768482036
RADM2,1942864384,288.00,0.0398476078522503
RADM2,1978084096,288.00,0.0389841908754462
RADM2,2013027328,288.00,0.0382889796257668
RADM2,1758476.125,288.50,0.104059712235927
RADM2,5398095.5,288.50,0.205041164602626
RADM2,9172877,288.50,0.265620275774481
RADM2,13063672,288.50,0.304098218828486
RADM2,17060618,288.50,0.33079541883474
RADM2,21156748,288.50,0.350403067672644
RADM2,25346740,288.50,0.365323382656157
RADM2,29625678,288.50,0.376910863630897
RADM2,33989104,288.50,0.385989101792106
RADM2,38432828,288.50,0.393093169126502
RADM2,42953356,288.50,0.398590188632753
RADM2,47547396,288.50,0.402746447303315
RADM2,52211760,288.50,0.405760230970387
RADM2,56943544,288.50,0.407785027967122
RADM2,61740056,288.50,0.408943545693319
RADM2,66598916,288.50,0.409336869955368
RADM2,71517880,288.50,0.409049710770049
RADM2,76495288,288.50,0.408155204079108
RADM2,81530144,288.50,0.40681899515782
RADM2,86621256,288.50,0.405264793945648
RADM2,91767440,288.50,0.403268946014279
RADM2,96966512,288.50,0.400874722306099
RADM2,102214520,288.50,0.398116983824082
RADM2,107507816,288.50,0.395029176036843
RADM2,112842712,288.50,0.39164183007756
RADM2,118216240,288.50,0.387982729277425
RADM2,123626392,288.50,0.384077408766004
RADM2,129070496,288.50,0.379949599560447
