Mechanism,NOx.Emissions,Temperature,O3,H2O2,OH,HO2,HCHO,RO2NO2,RONO2,HNO3
CRI,13487.22265625,288.00,40,0.0338667843768903,0.024643009055342,4.22766942981267,0.682064238421987,7.77700522253469e-05,4.64551425214017e-05,8.17579758793696e-07
CRI,122677.546875,288.00,40,0.0342057111801797,0.0246850845699639,4.26106806089566,0.682383261008113,0.000714422336393905,0.000432978197566214,7.66813506138456e-06
CRI,345189.71875,288.00,40,0.0349387810349988,0.0247771655216599,4.33136556135527,0.68309186085358,0.00204311762820597,0.00127128678677896,2.25827098313631e-05
CRI,686412,288.00,40,0.036156740795823,0.0249274410249641,4.44381207179156,0.68433081423791,0.00413286722553141,0.00265739947408195,4.6599859794506e-05
CRI,1152159.25,288.00,40,0.037965176141741,0.0251437884862859,4.60361956888811,0.686317669362779,0.00703242152011452,0.00467480177832047,8.06780789635968e-05
CRI,1748360.5,288.00,40,0.0404690100874738,0.0254396079668508,4.81414474257091,0.689350354576845,0.0107461635076578,0.00733064737384881,0.00012661597573356
CRI,2480991.5,288.00,40,0.0437629238403403,0.0258315809335222,5.075314734454,0.693800628059904,0.015240215339718,0.0105852540274731,0.000186704736957269
CRI,3356037.5,288.00,40,0.0479083162030491,0.0263389739977183,5.38757146534286,0.700084434868131,0.0204838611350677,0.0143564535259877,0.000263811243900527
CRI,4379459,288.00,40,0.0528872431959648,0.0269829833119111,5.73790841229549,0.708603009602626,0.026459426663572,0.018501231796586,0.00036154380270853
CRI,5557189,288.00,40,0.0585619747139887,0.0277853335771319,6.10691792274354,0.719670933957417,0.0331668234543336,0.0228785254630104,0.000484359297461823
CRI,6895071,288.00,40,0.0647236153561437,0.0287665060500451,6.47538229633926,0.733468230595946,0.0406221445370392,0.0273907216352676,0.000637612629795364
CRI,8398853,288.00,40,0.0710806205561632,0.0299441867785896,6.82727962705854,0.75004297217518,0.0488519988350866,0.0320234255779539,0.000828296470040818
CRI,10074123,288.00,40,0.0773689792787913,0.0313323619707904,7.15268903134225,0.769352248575217,0.0579168553394016,0.036852052659464,0.0010634013201255
CRI,11926329,288.00,40,0.083427306729611,0.0329410401679522,7.45162091753127,0.791311571823883,0.0678498229822466,0.0419318052502504,0.00135064973528359
CRI,13960692,288.00,40,0.0891730439489535,0.0347764250393807,7.72208772620298,0.818995260498667,0.0786483655978998,0.0473638905873486,0.00169874845527135
CRI,16182226,288.00,40,0.0945800868179525,0.036841260971825,7.96441992217956,0.859173787670642,0.0903248448258509,0.0532529229047007,0.00211708840562597
CRI,18595730,288.00,40,0.0996562415922497,0.0391352633622149,8.18208001351906,0.906545616352616,0.102884395447589,0.0597030549998046,0.00261567265243123
CRI,21205724,288.00,40,0.104425044999967,0.0416553252936998,8.37854872287602,0.960341917100038,0.116322847187877,0.066816323307517,0.0032050037537118
CRI,24016446,288.00,40,0.108915487739836,0.0443957682574013,8.55699452267933,1.01904717997314,0.130627758609947,0.0746938483286996,0.00389596558139638
CRI,27031878,288.00,40,0.113155748659999,0.0473484471844986,8.72013138780714,1.08321773772957,0.145778084048587,0.083436403619519,0.00469967511088076
CRI,30255656,288.00,40,0.117170051439075,0.0505028758071048,8.87019624418173,1.15143516943306,0.161744201365721,0.093144505997067,0.00562732586223413
CRI,33691168,288.00,40,0.120977297624059,0.0538463587954063,9.00898713268594,1.22358612131279,0.178488057667181,0.103918020022409,0.00669001659625579
CRI,37341496,288.00,40,0.124590768257882,0.0573642695844701,9.13870194796385,1.30088406713469,0.19596348155293,0.115862985872184,0.00789860364613926
