Mechanism,NOx.Emissions,Temperature,OH
RADM2,255009728,288.00,0.173763767589118
RADM2,1741710.5,288.00,0.0271646752672289
RADM2,5346085.5,288.00,0.0297658355212158
RADM2,9083699,288.00,0.0327852064344481
RADM2,12935643,288.00,0.0359884139904208
RADM2,16892162,288.00,0.0393015393178927
RADM2,20946400,288.00,0.0426831896107975
RADM2,25093106,288.00,0.04610788272995
RADM2,29327402,288.00,0.0495592201174913
RADM2,33644964,288.00,0.0530258989657733
RADM2,38041548,288.00,0.0565001977224488
RADM2,42513752,288.00,0.059976539522593
RADM2,47058188,288.00,0.0634507976216871
RADM2,51671808,288.00,0.0669195737235465
RADM2,56351548,288.00,0.0703802792954844
RADM2,61094928,288.00,0.0738306036316208
RADM2,65899456,288.00,0.0772688052322161
RADM2,70762928,288.00,0.0806933729904924
RADM2,75683352,288.00,0.0841033921108666
RADM2,80659448,288.00,0.0874991200913548
RADM2,85690360,288.00,0.0908794456247301
RADM2,90775000,288.00,0.0942398760482403
RADM2,95911704,288.00,0.0975828711455642
RADM2,101097368,288.00,0.100901559785434
RADM2,106328392,288.00,0.104186712696856
RADM2,111601200,288.00,0.107430909871212
RADM2,116912432,288.00,0.110628615101159
RADM2,122259640,288.00,0.113768247752243
RADM2,127640496,288.00,0.116857437897251
RADM2,133053312,288.00,0.119895385937083
RADM2,138496928,288.00,0.12288198345152
RADM2,143969696,288.00,0.12581695939002
RADM2,149470240,288.00,0.128701072694103
RADM2,154998304,288.00,0.131535122962871
RADM2,160552512,288.00,0.134319842032792
RADM2,166131296,288.00,0.137056449631308
RADM2,171734256,288.00,0.139744918653366
RADM2,177360464,288.00,0.142384869628205
RADM2,183008784,288.00,0.144975679139576
RADM2,188678080,288.00,0.147564469324402
RADM2,194367072,288.00,0.15011588163933
RADM2,200074752,288.00,0.152618504856497
RADM2,205800912,288.00,0.155073125022477
RADM2,211543152,288.00,0.157476259137791
RADM2,217299984,288.00,0.159826308004235
RADM2,223070464,288.00,0.16212293280863
RADM2,228854432,288.00,0.164367095780403
RADM2,234650272,288.00,0.166556208386869
RADM2,240456368,288.00,0.1686880615661
RADM2,246271504,288.00,0.170762099664483
RADM2,252095152,288.00,0.172777780580932
RADM2,313501184,288.00,0.190269824093363
RADM2,371817408,288.00,0.200547735427874
RADM2,429397024,288.00,0.206014960407903
RADM2,485932480,288.00,0.207072071078604
RADM2,541284544,288.00,0.204703387487321
RADM2,595417536,288.00,0.200675671284227
RADM2,648340864,288.00,0.194633236394112
RADM2,700102976,288.00,0.188572993483314
RADM2,750766272,288.00,0.18176551843524
RADM2,800397760,288.00,0.174760664381664
RADM2,849062272,288.00,0.168299578375171
RADM2,896821568,288.00,0.16176571529785
RADM2,943722368,288.00,0.155315064737267
RADM2,989835584,288.00,0.149219653018499
RADM2,1035211200,288.00,0.1437161614758
RADM2,1079893120,288.00,0.138403503067985
RADM2,1123933568,288.00,0.133315504902837
RADM2,1167362304,288.00,0.128466966340009
RADM2,1210214784,288.00,0.123863579440907
RADM2,1252520064,288.00,0.119504029610397
RADM2,1294304640,288.00,0.115380225989767
RADM2,1335591808,288.00,0.111617183865768
RADM2,1376407168,288.00,0.108076985945796
RADM2,1416772480,288.00,0.104713980542126
RADM2,1456720768,288.00,0.101520659554714
RADM2,1496247936,288.00,0.0984872922690609
RADM2,1535377792,288.00,0.0956057674976647
RADM2,1574119936,288.00,0.0928673574130366
RADM2,1612484736,288.00,0.0902635781331769
RADM2,1650488960,288.00,0.0877864539958542
RADM2,1688143744,288.00,0.0854278331559842
RADM2,1725458304,288.00,0.0831806344181278
RADM2,1762448000,288.00,0.0810381831626607
RADM2,1799124864,288.00,0.0789941097018194
RADM2,1835502976,288.00,0.0770421459917944
RADM2,1871579520,288.00,0.0751752108371466
RADM2,1907360384,288.00,0.0734992036850735
RADM2,1942864384,288.00,0.0717154810471639
RADM2,1978084096,288.00,0.0700520032064465
RADM2,2013027328,288.00,0.0684708095343572
RADM2,1758476.125,288.50,0.0280028499439209
RADM2,5398095.5,288.50,0.0306623385807215
RADM2,9172877,288.50,0.0337652269425531
RADM2,13063672,288.50,0.0370610287521878
RADM2,17060618,288.50,0.0404718610241914
RADM2,21156748,288.50,0.0439541896532069
RADM2,25346740,288.50,0.0474812111286513
RADM2,29625678,288.50,0.0510358221612536
RADM2,33989104,288.50,0.0546061473490934
RADM2,38432828,288.50,0.0581841161622493
